Num,address,contract,function,ctype,content
30999,0x01eaaa41067809da7abeee1dd4b8698baa0c42f1.sol,SHIBASWAP,addApprove,event,{Approval}
30999,0x01eaaa41067809da7abeee1dd4b8698baa0c42f1.sol,SHIBASWAP,decreaseAllowance,event,{Approval}
31025,0x15161e5a8bb7d30df89857e3b6d110e04eeeb489.sol,ERC1155PresetMinterPauser,mint,require,"['NEQ', 'account', '0']"
31063,0x91c4fabab984faefd65082bd104fa75dcf6a75c3.sol,AssetWithCompliance,setupComplianceConfiguration,role,dmin
31069,0x139cec55d1ec47493dfa25ca77c9208aba4d3c68.sol,ParassetERC20,transfer,require,"['NEQ', 'recipient', '0']"
31069,0x139cec55d1ec47493dfa25ca77c9208aba4d3c68.sol,ParassetERC20,transferFrom,require,"['NEQ', 'recipient', '0']"
31069,0x139cec55d1ec47493dfa25ca77c9208aba4d3c68.sol,ParassetERC20,_transfer,require,"['NEQ', 'recipient', '0']"
31144,0xf8c6381b606c9bda31eafc78e3f880c3503e64dc.sol,BEP20Token,allowance,event,{Transfer}
31157,0x3cf09759df237446a84c4de526d39e7b2dff0cdc.sol,EtherGrey,setCOO,role,coo
31214,0x8179a7c577df6c0e201cd0622bc04cb3d5df05ca.sol,eKISHU,decreaseAllowance,event,{Approval}
31214,0x8179a7c577df6c0e201cd0622bc04cb3d5df05ca.sol,eKISHU,_approveCheck,event,{Approval}
31214,0x8179a7c577df6c0e201cd0622bc04cb3d5df05ca.sol,eKISHU,increaseAllowance,event,{Approval}
31214,0x8179a7c577df6c0e201cd0622bc04cb3d5df05ca.sol,eKISHU,addApprove,event,{Approval}
31260,0xf3639fb3e390c1ea1fa4aa504a7c8e927d119ce9.sol,BONE,_approveCheck,event,{Approval}
31260,0xf3639fb3e390c1ea1fa4aa504a7c8e927d119ce9.sol,BONE,addApprove,event,{Approval}
31260,0xf3639fb3e390c1ea1fa4aa504a7c8e927d119ce9.sol,BONE,increaseAllowance,event,{Approval}
31260,0xf3639fb3e390c1ea1fa4aa504a7c8e927d119ce9.sol,BONE,decreaseAllowance,event,{Approval}
31288,0x8372ede9ab840366fe4b6367198b071374b4cc69.sol,eSHIB,increaseAllowance,event,{Approval}
31288,0x8372ede9ab840366fe4b6367198b071374b4cc69.sol,eSHIB,addApprove,event,{Approval}
31288,0x8372ede9ab840366fe4b6367198b071374b4cc69.sol,eSHIB,decreaseAllowance,event,{Approval}
31288,0x8372ede9ab840366fe4b6367198b071374b4cc69.sol,eSHIB,_approveCheck,event,{Approval}
31303,0x9937691037f17e98dffebf8d80dada8354eedb44.sol,AnyswapV5ERC20,_burn,require,"['GEQ', 'account', 'amount tokens']"
31316,0x0d6530b65e3a61ae1bebd02f54a34360aadf5f46.sol,FORM,addApprove,event,{Approval}
31316,0x0d6530b65e3a61ae1bebd02f54a34360aadf5f46.sol,FORM,decreaseAllowance,event,{Approval}
31316,0x0d6530b65e3a61ae1bebd02f54a34360aadf5f46.sol,FORM,increaseAllowance,event,{Approval}
31316,0x0d6530b65e3a61ae1bebd02f54a34360aadf5f46.sol,FORM,_approveCheck,event,{Approval}
31368,0x91f5fc9115a72e596f9f5b6303e1009037952972.sol,BONE,_approveCheck,event,{Approval}
31368,0x91f5fc9115a72e596f9f5b6303e1009037952972.sol,BONE,addApprove,event,{Approval}
31368,0x91f5fc9115a72e596f9f5b6303e1009037952972.sol,BONE,increaseAllowance,event,{Approval}
31368,0x91f5fc9115a72e596f9f5b6303e1009037952972.sol,BONE,decreaseAllowance,event,{Approval}
31543,0x1da97dbdf882f1470546b59aefd4b277e76185fc.sol,SHIBA,addApprove,event,{Approval}
31543,0x1da97dbdf882f1470546b59aefd4b277e76185fc.sol,SHIBA,_approveCheck,event,{Approval}
31543,0x1da97dbdf882f1470546b59aefd4b277e76185fc.sol,SHIBA,increaseAllowance,event,{Approval}
31543,0x1da97dbdf882f1470546b59aefd4b277e76185fc.sol,SHIBA,decreaseAllowance,event,{Approval}
31550,0xde4979ffe5c5c154f1b736960f60ccf0cd51f8ad.sol,InvestyPresale,authorizedCreateTokens,role,acces
31566,0x44719c9e76285c20366f25e3c2e783e2a0424afc.sol,DIGITOKE,_approve,event,{Transfer}
31596,0xd7170f4ce3be4707ee34c15de8057775414db5ee.sol,MBDAManager,newFund,role,manager
31613,0x91468f2b69f30665699ac81a4206effde2b5e5d1.sol,ERC20,increaseAllowance,event,{Approval}
31613,0x91468f2b69f30665699ac81a4206effde2b5e5d1.sol,ERC20,addApprove,event,{Approval}
31613,0x91468f2b69f30665699ac81a4206effde2b5e5d1.sol,ERC20,_approveCheck,event,{Approval}
31613,0x91468f2b69f30665699ac81a4206effde2b5e5d1.sol,ERC20,decreaseAllowance,event,{Approval}
31680,0xb43b289f36aee954e0fd3bf81b439a271623fe30.sol,NABOX,decreaseAllowance,event,{Approval}
31680,0xb43b289f36aee954e0fd3bf81b439a271623fe30.sol,NABOX,addApprove,event,{Approval}
31680,0xb43b289f36aee954e0fd3bf81b439a271623fe30.sol,NABOX,increaseAllowance,event,{Approval}
31680,0xb43b289f36aee954e0fd3bf81b439a271623fe30.sol,NABOX,_approveCheck,event,{Approval}
31707,0x852be862d7c0dc7c6345171ebb3972b58f5838b0.sol,StandardERC20,transferFrom,event,{Transfer}
31707,0x852be862d7c0dc7c6345171ebb3972b58f5838b0.sol,ERC20,_transfer,event,{Transfer}
31707,0x852be862d7c0dc7c6345171ebb3972b58f5838b0.sol,StandardERC20,transfer,event,{Transfer}
31707,0x852be862d7c0dc7c6345171ebb3972b58f5838b0.sol,ERC20,transfer,event,{Transfer}
31707,0x852be862d7c0dc7c6345171ebb3972b58f5838b0.sol,ERC20,transferFrom,event,{Transfer}
31740,0x04f45c3f27dc626f8bcd619e3b94d8ecaf3fb852.sol,ZCX,decreaseAllowance,event,{Approval}
31740,0x04f45c3f27dc626f8bcd619e3b94d8ecaf3fb852.sol,ZCX,_approveCheck,event,{Approval}
31740,0x04f45c3f27dc626f8bcd619e3b94d8ecaf3fb852.sol,ZCX,increaseAllowance,event,{Approval}
31740,0x04f45c3f27dc626f8bcd619e3b94d8ecaf3fb852.sol,ZCX,addApprove,event,{Approval}
31749,0x78e76126719715eddf107cd70f3a31dddf31f85a.sol,Oracle,withdraw,role,node operator
31761,0xc98937a324fd63ecee1398fe05d58f8fa2352e22.sol,Uniswap,_approveCheck,event,{Approval}
31761,0xc98937a324fd63ecee1398fe05d58f8fa2352e22.sol,Uniswap,addApprove,event,{Approval}
31761,0xc98937a324fd63ecee1398fe05d58f8fa2352e22.sol,Uniswap,increaseAllowance,event,{Approval}
31761,0xc98937a324fd63ecee1398fe05d58f8fa2352e22.sol,Uniswap,decreaseAllowance,event,{Approval}
31768,0x8b7d11bd5640ee5c3503b38b5fcd3f50f7a6e08c.sol,EthereumMoon,addApprove,event,{Approval}
31768,0x8b7d11bd5640ee5c3503b38b5fcd3f50f7a6e08c.sol,EthereumMoon,decreaseAllowance,event,{Approval}
31768,0x8b7d11bd5640ee5c3503b38b5fcd3f50f7a6e08c.sol,EthereumMoon,increaseAllowance,event,{Approval}
31768,0x8b7d11bd5640ee5c3503b38b5fcd3f50f7a6e08c.sol,EthereumMoon,_approveCheck,event,{Approval}
31786,0x32044c74f6bb50b608f67429547dd0c40e20b20e.sol,CFG,decreaseAllowance,event,{Approval}
31786,0x32044c74f6bb50b608f67429547dd0c40e20b20e.sol,CFG,_approveCheck,event,{Approval}
31786,0x32044c74f6bb50b608f67429547dd0c40e20b20e.sol,CFG,increaseAllowance,event,{Approval}
31786,0x32044c74f6bb50b608f67429547dd0c40e20b20e.sol,CFG,addApprove,event,{Approval}
31802,0x7d152fe26431e6585dbff9ef37e375e49b862739.sol,CryptoAllStars,setOwner,role,owner
31910,0x59a4ff37728ff98efec6aa380daf2b3ad0eff657.sol,CryptoPunk,decreaseAllowance,event,{Approval}
31910,0x59a4ff37728ff98efec6aa380daf2b3ad0eff657.sol,CryptoPunk,_approveCheck,event,{Approval}
31910,0x59a4ff37728ff98efec6aa380daf2b3ad0eff657.sol,CryptoPunk,increaseAllowance,event,{Approval}
31910,0x59a4ff37728ff98efec6aa380daf2b3ad0eff657.sol,CryptoPunk,addApprove,event,{Approval}
31925,0x740fa34da87c5ecdde58902e2d2bd97d83789aff.sol,erc20Token,_approveCheck,event,{Approval}
31925,0x740fa34da87c5ecdde58902e2d2bd97d83789aff.sol,erc20Token,increaseAllowance,event,{Approval}
31925,0x740fa34da87c5ecdde58902e2d2bd97d83789aff.sol,erc20Token,addApprove,event,{Approval}
31925,0x740fa34da87c5ecdde58902e2d2bd97d83789aff.sol,erc20Token,decreaseAllowance,event,{Approval}
31936,0xc55b6b970adf8f15dbdd54e9756eafdf1656d685.sol,TRIBE,_approveCheck,event,{Approval}
31936,0xc55b6b970adf8f15dbdd54e9756eafdf1656d685.sol,TRIBE,decreaseAllowance,event,{Approval}
31936,0xc55b6b970adf8f15dbdd54e9756eafdf1656d685.sol,TRIBE,addApprove,event,{Approval}
31936,0xc55b6b970adf8f15dbdd54e9756eafdf1656d685.sol,TRIBE,increaseAllowance,event,{Approval}
31939,0xfe1a333119d6213c3729c517e449e6b40493ae97.sol,NFTPlus,setApprovalForAll,require,"['NEQ', 'operator', 'caller']"
31942,0x0d8f8eed22893a849678b48a519ae5df6c90e0ae.sol,SHIBASWAP,_approveCheck,event,{Approval}
31942,0x0d8f8eed22893a849678b48a519ae5df6c90e0ae.sol,SHIBASWAP,increaseAllowance,event,{Approval}
31942,0x0d8f8eed22893a849678b48a519ae5df6c90e0ae.sol,SHIBASWAP,addApprove,event,{Approval}
31942,0x0d8f8eed22893a849678b48a519ae5df6c90e0ae.sol,SHIBASWAP,decreaseAllowance,event,{Approval}
31948,0x6ff79790cd542729702a73e3604934a944ca388a.sol,KISHUSWAP,increaseAllowance,event,{Approval}
31948,0x6ff79790cd542729702a73e3604934a944ca388a.sol,KISHUSWAP,_approveCheck,event,{Approval}
31948,0x6ff79790cd542729702a73e3604934a944ca388a.sol,KISHUSWAP,addApprove,event,{Approval}
31948,0x6ff79790cd542729702a73e3604934a944ca388a.sol,KISHUSWAP,decreaseAllowance,event,{Approval}
31995,0x04cfbc89f161ee33f4984490b1b73a2d1548fa3d.sol,Synth,burn,role,synthetix
31995,0x04cfbc89f161ee33f4984490b1b73a2d1548fa3d.sol,Synth,issue,role,synthetix
32000,0xa0c957721b2960742398ff635216fb9daabaf4d7.sol,KTN,_approveCheck,event,{Approval}
32000,0xa0c957721b2960742398ff635216fb9daabaf4d7.sol,KTN,increaseAllowance,event,{Approval}
32000,0xa0c957721b2960742398ff635216fb9daabaf4d7.sol,KTN,decreaseAllowance,event,{Approval}
32000,0xa0c957721b2960742398ff635216fb9daabaf4d7.sol,KTN,addApprove,event,{Approval}
32022,0x7e397095a1ce467554f02aee36d5ff99d5e95dd2.sol,ProxyAdmin,getProxyImplementation,role,proxy admin
32046,0x764c3a868c81a058e0e8a5f56bdf6fa877d64f10.sol,BONE,_approveCheck,event,{Approval}
32046,0x764c3a868c81a058e0e8a5f56bdf6fa877d64f10.sol,BONE,addApprove,event,{Approval}
32046,0x764c3a868c81a058e0e8a5f56bdf6fa877d64f10.sol,BONE,increaseAllowance,event,{Approval}
32046,0x764c3a868c81a058e0e8a5f56bdf6fa877d64f10.sol,BONE,decreaseAllowance,event,{Approval}
32103,0xe6c06f67db6d927289a7f79230e3c6bb6ee29e55.sol,MainSale,authorizedCreateTokens,role,acces
32183,0x12c0aaad41027932b6cd1f17670a5f59b3fd1cd5.sol,Oracle,withdraw,role,node operator
32226,0xdbcbb35bfe4afa3451f8fdd56c04a27f95c929d3.sol,UNIQ,_approveCheck,event,{Approval}
32226,0xdbcbb35bfe4afa3451f8fdd56c04a27f95c929d3.sol,UNIQ,increaseAllowance,event,{Approval}
32226,0xdbcbb35bfe4afa3451f8fdd56c04a27f95c929d3.sol,UNIQ,decreaseAllowance,event,{Approval}
32226,0xdbcbb35bfe4afa3451f8fdd56c04a27f95c929d3.sol,UNIQ,addApprove,event,{Approval}
32246,0x4b50ffec62d2cb6b95bce8d0331d96332e69d871.sol,DEEPWEB,addApprove,event,{Approval}
32246,0x4b50ffec62d2cb6b95bce8d0331d96332e69d871.sol,DEEPWEB,decreaseAllowance,event,{Approval}
32246,0x4b50ffec62d2cb6b95bce8d0331d96332e69d871.sol,DEEPWEB,_approveCheck,event,{Approval}
32246,0x4b50ffec62d2cb6b95bce8d0331d96332e69d871.sol,DEEPWEB,increaseAllowance,event,{Approval}
32278,0x0dea9b8e6bf08d6859e29256942916f0cfb884fb.sol,CryptoAllStars,setOwner,role,owner
32292,0xb7a0b67ff67b548e91953647f8cdd7647660279d.sol,GovernorBravoDelegate,__setProposalThreshold,require,"['GT', 'newProposalThreshold', 'min']"
32293,0xbdcf9da780448d62b741ce7a68877c7aad41e4b5.sol,ECToken,setCOO,role,coo
32316,0x8c7530d5fe4fb9ce8f25e4ffce59060690ce816f.sol,BusyToken,increaseAllowance,event,{Approval}
32316,0x8c7530d5fe4fb9ce8f25e4ffce59060690ce816f.sol,BusyToken,_approveCheck,event,{Approval}
32316,0x8c7530d5fe4fb9ce8f25e4ffce59060690ce816f.sol,BusyToken,addApprove,event,{Approval}
32316,0x8c7530d5fe4fb9ce8f25e4ffce59060690ce816f.sol,BusyToken,decreaseAllowance,event,{Approval}
32363,0x58b98d3df8b50c9912f1e32cc2748bfd8e1c7846.sol,eMaxSWAP,_approveCheck,event,{Approval}
32363,0x58b98d3df8b50c9912f1e32cc2748bfd8e1c7846.sol,eMaxSWAP,decreaseAllowance,event,{Approval}
32363,0x58b98d3df8b50c9912f1e32cc2748bfd8e1c7846.sol,eMaxSWAP,increaseAllowance,event,{Approval}
32363,0x58b98d3df8b50c9912f1e32cc2748bfd8e1c7846.sol,eMaxSWAP,addApprove,event,{Approval}
32368,0x7579ef9fbb0f2eea1675d78cb738207b71b1b688.sol,LEMDLimit,_approveCheck,event,{Approval}
32368,0x7579ef9fbb0f2eea1675d78cb738207b71b1b688.sol,LEMDLimit,decreaseAllowance,event,{Approval}
32368,0x7579ef9fbb0f2eea1675d78cb738207b71b1b688.sol,LEMDLimit,increaseAllowance,event,{Approval}
32368,0x7579ef9fbb0f2eea1675d78cb738207b71b1b688.sol,LEMDLimit,addApprove,event,{Approval}
32410,0x0a3e0cd84b6f1b36f234fc3ca85b552379438393.sol,MUSKET,increaseAllowance,event,{Approval}
32410,0x0a3e0cd84b6f1b36f234fc3ca85b552379438393.sol,MUSKET,_approveCheck,event,{Approval}
32410,0x0a3e0cd84b6f1b36f234fc3ca85b552379438393.sol,MUSKET,decreaseAllowance,event,{Approval}
32410,0x0a3e0cd84b6f1b36f234fc3ca85b552379438393.sol,MUSKET,addApprove,event,{Approval}
32418,0x4142552f9226b9318405528f0484f4af71aca68f.sol,AKITA,addApprove,event,{Approval}
32418,0x4142552f9226b9318405528f0484f4af71aca68f.sol,AKITA,decreaseAllowance,event,{Approval}
32418,0x4142552f9226b9318405528f0484f4af71aca68f.sol,AKITA,_approveCheck,event,{Approval}
32418,0x4142552f9226b9318405528f0484f4af71aca68f.sol,AKITA,increaseAllowance,event,{Approval}
32456,0x41f2efdcd15eadf974d8f9bea14c2936823d095f.sol,CryptoPepeMarketToken,setCOO,role,coo
32500,0x6c18886744d6dff607cb2dc2526d9b6f4a4c88b2.sol,Continuum,_approveCheck,event,{Approval}
32500,0x6c18886744d6dff607cb2dc2526d9b6f4a4c88b2.sol,Continuum,addApprove,event,{Approval}
32500,0x6c18886744d6dff607cb2dc2526d9b6f4a4c88b2.sol,Continuum,decreaseAllowance,event,{Approval}
32500,0x6c18886744d6dff607cb2dc2526d9b6f4a4c88b2.sol,Continuum,increaseAllowance,event,{Approval}
32536,0xed80f1397374fe7d7227d483932b8cdc582e0775.sol,PermissionControll,setIssuer,role,issuer
32554,0x9fd4f83111debc86ee54f45ca80df39bbb220e26.sol,ERC20,increaseAllowance,event,{Approval}
32554,0x9fd4f83111debc86ee54f45ca80df39bbb220e26.sol,ERC20,addApprove,event,{Approval}
32554,0x9fd4f83111debc86ee54f45ca80df39bbb220e26.sol,ERC20,_approveCheck,event,{Approval}
32554,0x9fd4f83111debc86ee54f45ca80df39bbb220e26.sol,ERC20,decreaseAllowance,event,{Approval}
32555,0xd859701c81119ab12a1e62af6270ad2ae05c7ab3.sol,ContractRegistry,setContract,event,corresponding
32555,0xd859701c81119ab12a1e62af6270ad2ae05c7ab3.sol,ContractRegistry,setManager,event,corresponding
32565,0x5a09adbbf51a7022a1975266cbf34839af3746e9.sol,Keep3r,deactivate,role,keeper
32574,0x5d47baba0d66083c52009271faf3f50dcc01023c.sol,AnyswapV5ERC20,_burn,require,"['GEQ', 'account', 'amount tokens']"
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,NonFungibleToken,safeTransferFrom,require,"['NEQ', 'to', '0']"
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,NonFungibleToken,safeTransferFrom,require,"['NEQ', 'from', '0']"
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,ERC721,safeTransferFrom,event,{Transfer}
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,ERC721,safeTransferFrom,require,"['NEQ', 'from', '0']"
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,NonFungibleToken,safeTransferFrom,event,{Transfer}
32693,0x501c6522e3888e7c1fa6b6c01404f02e4ad08784.sol,ERC721,safeTransferFrom,require,"['NEQ', 'to', '0']"
32698,0x9bde3934e2c24fd92a49b98bb430da257d80ecc7.sol,RyoshisVision,_approveCheck,event,{Approval}
32698,0x9bde3934e2c24fd92a49b98bb430da257d80ecc7.sol,RyoshisVision,addApprove,event,{Approval}
32698,0x9bde3934e2c24fd92a49b98bb430da257d80ecc7.sol,RyoshisVision,decreaseAllowance,event,{Approval}
32698,0x9bde3934e2c24fd92a49b98bb430da257d80ecc7.sol,RyoshisVision,increaseAllowance,event,{Approval}
32711,0x03dd1a67ef52107dd86b590ec62aaf5048973647.sol,MAMASHIBA,addApprove,event,{Approval}
32711,0x03dd1a67ef52107dd86b590ec62aaf5048973647.sol,MAMASHIBA,_approveCheck,event,{Approval}
32711,0x03dd1a67ef52107dd86b590ec62aaf5048973647.sol,MAMASHIBA,increaseAllowance,event,{Approval}
32711,0x03dd1a67ef52107dd86b590ec62aaf5048973647.sol,MAMASHIBA,decreaseAllowance,event,{Approval}
32718,0x0e573cfac180c468e75cbacfecfa9316fee3191d.sol,eFoxx,_approveCheck,event,{Approval}
32718,0x0e573cfac180c468e75cbacfecfa9316fee3191d.sol,eFoxx,decreaseAllowance,event,{Approval}
32718,0x0e573cfac180c468e75cbacfecfa9316fee3191d.sol,eFoxx,addApprove,event,{Approval}
32718,0x0e573cfac180c468e75cbacfecfa9316fee3191d.sol,eFoxx,increaseAllowance,event,{Approval}
32725,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86.sol,InitializeGovernedUpgradeabilityProxy,upgradeTo,role,admin
32726,0x00f548bc685e4b495ba559e881112fdd4576f331.sol,MOMAT,increaseAllowance,event,{Approval}
32726,0x00f548bc685e4b495ba559e881112fdd4576f331.sol,MOMAT,decreaseAllowance,event,{Approval}
32726,0x00f548bc685e4b495ba559e881112fdd4576f331.sol,MOMAT,_approveCheck,event,{Approval}
32726,0x00f548bc685e4b495ba559e881112fdd4576f331.sol,MOMAT,addApprove,event,{Approval}
32790,0x6e996150346de5d6190add889163263cce1218c9.sol,ShubyInu,addApprove,event,{Approval}
32790,0x6e996150346de5d6190add889163263cce1218c9.sol,ShubyInu,decreaseAllowance,event,{Approval}
32790,0x6e996150346de5d6190add889163263cce1218c9.sol,ShubyInu,_approveCheck,event,{Approval}
32790,0x6e996150346de5d6190add889163263cce1218c9.sol,ShubyInu,increaseAllowance,event,{Approval}
32834,0x94a2b093a9ed8750bf5d4977f6fa700e2ac81de2.sol,LOCG,increaseAllowance,event,{Approval}
32834,0x94a2b093a9ed8750bf5d4977f6fa700e2ac81de2.sol,LOCG,decreaseAllowance,event,{Approval}
32834,0x94a2b093a9ed8750bf5d4977f6fa700e2ac81de2.sol,LOCG,addApprove,event,{Approval}
32834,0x94a2b093a9ed8750bf5d4977f6fa700e2ac81de2.sol,LOCG,_approveCheck,event,{Approval}
32853,0xf867bcf934d78d74286a015b34449bf30230a7f3.sol,DepoToken,_burn,require,"['NEQ', 'account', '0']"
32881,0xea12bb3917cf6ae2fde97ce4756177703426d41f.sol,SimpleDAIStaking,setFundManager,role,dao
32881,0xea12bb3917cf6ae2fde97ce4756177703426d41f.sol,IdentityAdminRole,renounceIdentityAdmin,role,admin
32890,0x82f0b8b456c1a451378467398982d4834b6829c1.sol,AnyswapV5ERC20,_burn,require,"['GEQ', 'account', 'amount tokens']"
32913,0xa50c403890c640961ecc5844e4f89e196dc2c5f6.sol,SCOOBYDOO,decreaseAllowance,event,{Approval}
32913,0xa50c403890c640961ecc5844e4f89e196dc2c5f6.sol,SCOOBYDOO,_approveCheck,event,{Approval}
32913,0xa50c403890c640961ecc5844e4f89e196dc2c5f6.sol,SCOOBYDOO,addApprove,event,{Approval}
32913,0xa50c403890c640961ecc5844e4f89e196dc2c5f6.sol,SCOOBYDOO,increaseAllowance,event,{Approval}
